SampleID	individuals	region	sample_growth
asuCPW10	asu1	choked	artificial
asuCPW2	asu2	choked	artificial
asuCPW23	asu3	choked	artificial
asuCPW30	asu4	choked	artificial
asuCPW5	asu5	choked	artificial
asuCPW67	asu6	choked	artificial
asuCPW70	asu7	choked	artificial
asuCPWedge	asu8	choked	artificial
asuCPWinner	asu9	choked	artificial
waterCIBa	water1	choked	seawater
waterCIBb	water2	choked	seawater
waterCOBa	water3	choked	seawater
waterCOBc	water4	choked	seawater
waterCOSa	water5	choked	seawater
waterCOSb	water6	choked	seawater
waterCOSc	water7	choked	seawater
waterCSPa	water8	choked	seawater
waterCSPb	water9	choked	seawater
waterCSPc	water10	choked	seawater
waterCWBa	water11	choked	seawater
waterCWBb	water12	choked	seawater
waterGSEa	water13	goose	seawater
waterGSEb	water14	goose	seawater
waterGSEc	water15	goose	seawater
waterGSWa	water16	goose	seawater
waterGSWb	water17	goose	seawater
waterGSWc	water18	goose	seawater
waterMcNa	water19	mcmullin	seawater
waterMcNb	water20	mcmullin	seawater
waterMcNc	water21	mcmullin	seawater
waterMcNd	water22	mcmullin	seawater
waterMcNe	water23	mcmullin	seawater
waterMcNf	water24	mcmullin	seawater
waterMcNg	water25	mcmullin	seawater
waterMcSa	water26	mcmullin	seawater
waterMcSb	water27	mcmullin	seawater
waterMcSc	water28	mcmullin	seawater
waterMcSd	water29	mcmullin	seawater
waterMcSg	water30	mcmullin	seawater
waterTQNa	water31	triquet	seawater
waterTQNb	water32	triquet	seawater
waterTQSa	water33	triquet	seawater
waterTQSb	water34	triquet	seawater
waterTQSc	water35	triquet	seawater
ZosCPWnewA	ZosCPWA	choked	zostera_new
ZosCPWnewB	ZosCPWB	choked	zostera_new
ZosCPWnewC	ZosCPWC	choked	zostera_new
ZosCPWnewD	ZosCPWD	choked	zostera_new
ZosCPWnewE	ZosCPWE	choked	zostera_new
ZosCPWnewF	ZosCPWF	choked	zostera_new
ZosCSPnewA	ZosCSPA	choked	zostera_new
ZosCSPnewB	ZosCSPB	choked	zostera_new
ZosCSPnewB2	ZosCSPB2	choked	zostera_new
ZosCSPnewC	ZosCSPC	choked	zostera_new
ZosCSPnewD	ZosCSPD	choked	zostera_new
ZosCSPnewE	ZosCSPE	choked	zostera_new
ZosCSPnewG	ZosCSPG	choked	zostera_new
ZosCSPnewH	ZosCSPH	choked	zostera_new
ZosCSPnewL	ZosCSPL	choked	zostera_new
ZosCSPnewM	ZosCSPM	choked	zostera_new
ZosCSSnewA	ZosCSSA	choked	zostera_new
ZosCSSnewB	ZosCSSB	choked	zostera_new
ZosCSSnewC	ZosCSSC	choked	zostera_new
ZosCSSnewE	ZosCSSE	choked	zostera_new
ZosCSSnewF	ZosCSSF	choked	zostera_new
ZosGSEnewA	ZosGSEA	goose	zostera_new
ZosGSEnewB	ZosGSEB	goose	zostera_new
ZosGSEnewC	ZosGSEC	goose	zostera_new
ZosGSEnewD	ZosGSED	goose	zostera_new
ZosGSEnewE	ZosGSEE	goose	zostera_new
ZosGSWnewA	ZosGSWA	goose	zostera_new
ZosGSWnewB	ZosGSWB	goose	zostera_new
ZosGSWnewC	ZosGSWC	goose	zostera_new
ZosGSWnewD	ZosGSWD	goose	zostera_new
ZosGSWnewE	ZosGSWE	goose	zostera_new
ZosGSWnewF	ZosGSWF	goose	zostera_new
ZosMcNnewA	ZosMcNA	mcmullin	zostera_new
ZosMcNnewB	ZosMcNB	mcmullin	zostera_new
ZosMcNnewC	ZosMcNC	mcmullin	zostera_new
ZosMcNnewD	ZosMcND	mcmullin	zostera_new
ZosMcNnewE	ZosMcNE	mcmullin	zostera_new
ZosMcNnewF	ZosMcNF	mcmullin	zostera_new
ZosMcSnewA	ZosMcSA	mcmullin	zostera_new
ZosMcSnewB	ZosMcSB	mcmullin	zostera_new
ZosMcSnewC	ZosMcSC	mcmullin	zostera_new
ZosMcSnewD	ZosMcSD	mcmullin	zostera_new
ZosMcSnewE	ZosMcSE	mcmullin	zostera_new
ZosMcSnewF	ZosMcSF	mcmullin	zostera_new
ZosTQNnewB	ZosTQNB	triquet	zostera_new
ZosTQNnewC	ZosTQNC	triquet	zostera_new
ZosTQNnewD	ZosTQND	triquet	zostera_new
ZosTQNnewF	ZosTQNF	triquet	zostera_new
ZosTQSnewA	ZosTQSA	triquet	zostera_new
ZosTQSnewB	ZosTQSB	triquet	zostera_new
ZosTQSnewC	ZosTQSC	triquet	zostera_new
ZosTQSnewD	ZosTQSD	triquet	zostera_new
ZosTQSnewE	ZosTQSE	triquet	zostera_new
ZosTQSnewF	ZosTQSF	triquet	zostera_new
ZosCPWoldA	ZosCPWA	choked	zostera_old
ZosCPWoldB	ZosCPWB	choked	zostera_old
ZosCPWoldC	ZosCPWC	choked	zostera_old
ZosCPWoldD	ZosCPWD	choked	zostera_old
ZosCPWoldE	ZosCPWE	choked	zostera_old
ZosCPWoldF	ZosCPWF	choked	zostera_old
ZosCSPoldA	ZosCSPA	choked	zostera_old
ZosCSPoldB	ZosCSPB	choked	zostera_old
ZosCSPoldC	ZosCSPC	choked	zostera_old
ZosCSPoldH	ZosCSPH	choked	zostera_old
ZosCSPoldL	ZosCSPL	choked	zostera_old
ZosCSPoldM	ZosCSPM	choked	zostera_old
ZosCSSoldA	ZosCSSA	choked	zostera_old
ZosCSSoldB	ZosCSSB	choked	zostera_old
ZosCSSoldC	ZosCSSC	choked	zostera_old
ZosCSSoldD	ZosCSSD	choked	zostera_old
ZosCSSoldE	ZosCSSE	choked	zostera_old
ZosGSEoldB	ZosGSEB	goose	zostera_old
ZosGSEoldC	ZosGSEC	goose	zostera_old
ZosGSEoldD	ZosGSED	goose	zostera_old
ZosGSEoldE	ZosGSEE	goose	zostera_old
ZosGSEoldF	ZosGSEF	goose	zostera_old
ZosGSWoldA	ZosGSWA	goose	zostera_old
ZosGSWoldB	ZosGSWB	goose	zostera_old
ZosGSWoldC	ZosGSWC	goose	zostera_old
ZosGSWoldD	ZosGSWD	goose	zostera_old
ZosGSWoldE	ZosGSWE	goose	zostera_old
ZosGSWoldF	ZosGSWF	goose	zostera_old
ZosMcNoldA	ZosMcNA	mcmullin	zostera_old
ZosMcNoldB	ZosMcNB	mcmullin	zostera_old
ZosMcNoldC	ZosMcNC	mcmullin	zostera_old
ZosMcNoldD	ZosMcND	mcmullin	zostera_old
ZosMcNoldE	ZosMcNE	mcmullin	zostera_old
ZosMcNoldF	ZosMcNF	mcmullin	zostera_old
ZosMcSoldA	ZosMcSA	mcmullin	zostera_old
ZosMcSoldB	ZosMcSB	mcmullin	zostera_old
ZosMcSoldC	ZosMcSC	mcmullin	zostera_old
ZosMcSoldD	ZosMcSD	mcmullin	zostera_old
ZosMcSoldE	ZosMcSE	mcmullin	zostera_old
ZosMcSoldF	ZosMcSF	mcmullin	zostera_old
ZosTQNoldA	ZosTQNA	triquet	zostera_old
ZosTQNoldB	ZosTQNB	triquet	zostera_old
ZosTQNoldC	ZosTQNC	triquet	zostera_old
ZosTQNoldD	ZosTQND	triquet	zostera_old
